- Vespa Sprint 125 (2015, ZAPM81301)
- Vespa Sprint 125 (2016, RP8M82111)
- Vespa Sprint 125 (2024, ZAPMD1103)
- Vespa Sprint 125 IGET ABS (2016, ZAPMA1300)
- Vespa Sprint 125 IGET ABS (2017, ZAPMA1300)
- Vespa Sprint 125 IGET ABS (2018, ZAPMA1300)
- Vespa Sprint 125 IGET ABS (2018, ZAPMA1300) Notte
- Vespa Sprint 125 IGET ABS (2019-2020, ZAPMA1300)
- Vespa Sprint 125 IGET ABS (2019-2020, ZAPMA1300) Notte
- Vespa Sprint 125 IGET ABS (2019-2020, ZAPMA1300) Racing Sixties
- Vespa Sprint 125 IGET ABS (2019-2020, ZAPMA1301)
- Vespa Sprint 125 IGET ABS (2019-2020, ZAPMA1301) Notte
- Vespa Sprint 125 IGET ABS (2019-2020, ZAPMA1301) Racing Sixties
- Vespa Sprint 125 IGET ABS (2021, ZAPMD1101)
- Vespa Sprint 125 IGET ABS (2021, ZAPMD1101) Racing Sixties
- Vespa Sprint 125 IGET ABS (2022, ZAPMD1101) Justin Bieber
- Vespa Sprint 125 IGET S (2026, ZAPMD1103)
- Vespa Sprint 125 IGET Sport ABS (2018, ZAPMA1300)
- Vespa Sprint 125 IGET Sport ABS (2019-2020, ZAPMA1300)
- Vespa Sprint 125 IGET Sport ABS (2019-2020, ZAPMA1301)
- Vespa Sprint 125 IGET Sport ABS (2021, ZAPMD1101)
- Vespa Sprint 125 Sport ABS (2014, ZAPM81300)
- Vespa Sprint 125 Sport ABS (2014, ZAPM81301)
- Vespa Sprint 125 Sport ABS (2015, ZAPM81300)
- Vespa Sprint 125 Sport ABS (2015, ZAPM81301)
- Vespa Sprint 150 (2015, ZAPM81401)
- Vespa Sprint 150 (2024, ZAPMD1203)
- Vespa Sprint 150 IGET (2016, ZAPMA1400)
- Vespa Sprint 150 IGET (2017, ZAPMA1400)
- Vespa Sprint 150 IGET (2018, ZAPMA1400)
- Vespa Sprint 150 IGET ABS (2021, ZAPMD1201) Racing Sixties
- Vespa Sprint 150 IGET ABS (2022, ZAPMD1201) Justin Bieber
- Vespa Sprint 150 IGET S (2026, ZAPMD1221)
- Vespa Sprint 150 IGET Sport (2016, ZAPMA1400)
- Vespa Sprint 150 IGET Sport (2017, ZAPMA1400)
- Vespa Sprint 150 IGET Sport (2018, ZAPMA1400)
- Vespa Sprint 150 IGET Sport (2018, ZAPMA1401)
- Vespa Sprint 150 IGET Sport (2019-2020, ZAPMA1400)
- Vespa Sprint 150 IGET Sport (2019-2020, ZAPMA1401)
- Vespa Sprint 150 IGET Sport ABS (2021, ZAPMD1201)
